Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Porta,Barri,Equipament,8.30,8.30,8.30,8.30,8.34,8.21,8.23,8.23,7.57,7.56,7.56,7.56,-
el Turó de la Peira,Barri,Residencial,37.90,37.90,37.90,37.90,37.92,37.76,37.93,37.93,37.57,37.57,37.57,37.57,-
el Turó de la Peira,Barri,Industrial i infraestructures,0.10,0.10,0.10,0.10,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.11,-
el Turó de la Peira,Barri,Equipament,9.90,9.90,9.90,9.90,9.87,9.89,10.05,10.05,10.30,10.30,10.30,10.30,-
Can Peguera,Barri,Residencial,69.50,69.50,69.50,69.50,69.54,69.54,50.69,50.69,51.79,51.79,51.79,51.79,-
Can Peguera,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Can Peguera,Barri,Equipament,8.50,8.50,8.50,8.50,8.49,8.49,6.68,6.68,5.86,5.86,5.86,5.86,-
la Guineueta,Barri,Residencial,36.80,36.80,36.80,36.80,36.77,36.57,36.51,36.06,36.03,36.03,36.03,36.03,-
la Guineueta,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,-
la Guineueta,Barri,Equipament,15.20,15.20,15.20,15.30,15.27,15.29,15.27,15.27,14.87,14.80,14.80,14.80,-
Canyelles,Barri,Residencial,11.50,11.50,11.50,11.50,11.47,14.11,14.04,14.00,13.88,13.88,13.88,13.88,-
Canyelles,Barri,Industrial i infraestructures,0.60,0.60,0.70,0.60,0.65,-,-,-,-,-,-,-,-
Canyelles,Barri,Equipament,18.30,18.30,18.30,18.30,18.28,18.15,18.22,18.17,18.27,18.27,18.27,18.27,-
les Roquetes,Barri,Residencial,28.60,28.60,28.60,28.60,28.58,28.37,28.37,28.37,28.39,28.39,28.39,28.38,-
les Roquetes,Barri,Industrial i infraestructures,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
les Roquetes,Barri,Equipament,9.10,9.10,9.10,9.10,9.12,9.12,9.12,9.12,9.14,9.14,9.14,9.10,-
Verdun,Barri,Residencial,61.30,61.30,61.30,61.30,61.55,60.09,60.11,60.03,60.07,60.07,60.07,60.07,-
Verdun,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Verdun,Barri,Equipament,3.50,3.50,3.50,3.50,3.45,3.45,3.45,3.45,3.47,3.47,3.47,3.47,-
